_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
11.4128236,74.98807307,3572,00 45 39.11,+74 59 17.3,5.64,11.4129637,74.9881262,11.24,-14.93,-21.86,0.55,0.078, ,11.4128236,74.98807307
11.43997081,-47.55198527,3583,00 45 45.43,-47 33 07.8,5.8,11.43930832,-47.55217573,66.92,183.96,78.36,0.73,0.635, ,11.4399708,-47.55198527
11.54897393,-22.52209695,3607,00 46 11.63,-22 31 19.4,5.49,11.54845521,-22.52206718,9.78,197.14,-12.25,0.71,0.978, ,11.54897393,-22.52209695
11.63732574,15.47550446,3632,00 46 32.98,+15 28 32.2,5.36,11.63740001,15.47561194,5.55,-29.45,-44.22,0.82,1.559,P,11.63732574,15.47550446
11.75607711,11.97384928,3675,00 47 01.43,+11 58 26.2,5.51,11.75594336,11.97393464,12.45,53.83,-35.12,0.81,0.987, ,11.75607711,11.97384928
11.83468919,24.26717799,3693,00 47 20.39,+24 16 02.6,4.08,11.83495908,24.26737703,17.98,-101.23,-81.89,0.83,1.1,P,11.83468919,24.26717799
11.84846603,6.740956413,3697,00 47 23.62,+06 44 27.5,5.98,11.84843074,6.74098135,7.16,14.42,-10.26,0.94,0.941, ,11.84846603,6.74095641
11.93008447,-18.06133903,3717,00 47 43.20,-18 03 41.1,5.7,11.93000731,-18.06142264,8.11,30.18,34.4,0.76,1.3, ,11.93008447,-18.06133903
11.94188855,74.84757295,3721,00 47 46.02,+74 50 51.3,5.42,11.94174879,74.84758739,4.06,15.03,-5.94,0.55,-0.066, ,11.94188855,74.84757295
12.00444392,-21.72249221,3741,00 48 01.05,-21 43 20.9,5.57,12.00437854,-21.72247464,6.72,24.99,-7.23,0.79,-0.058, ,12.00444392,-21.72249221
12.03807254,72.67448173,3750,00 48 08.88,+72 40 28.0,5.86,12.03698124,72.67445774,14.65,133.71,9.87,1.35,1.01, ,12.03807254,72.67448173
12.07254207,7.299928058,3760,00 48 17.34,+07 17 59.7,5.92,12.07226858,7.29991977,4.93,111.61,3.41,0.82,1.104, ,12.07254207,7.29992806
12.09573817,5.280614929,3765,00 48 22.53,+05 17 00.2,5.74,12.09388786,5.28338873,134.04,758.04,-1141.22,0.86,0.89, ,12.09573817,5.28061493
12.14757205,-74.92343763,3781,00 48 35.12,-74 55 24.1,5.09,12.14632729,-74.92335356,15.94,133.21,-34.59,0.48,1.345, ,12.14757205,-74.92343763
12.17060122,7.585079166,3786,00 48 40.90,+07 35 06.7,4.44,12.17039736,7.58520186,10.69,83.14,-50.48,0.78,1.5, ,12.17060122,7.58507917
12.20842239,50.96816767,3801,00 48 49.99,+50 58 05.5,4.9,12.20830552,50.96819154,8.37,30.28,-9.82,0.76,-0.091, ,12.20842239,50.96816767
12.24461788,16.94064377,3810,00 48 58.71,+16 56 28.1,5.07,12.2446238,16.9411337,41.8,-2.33,-201.57,0.75,0.502, ,12.24461788,16.94064377
12.27621323,57.81518734,3821,00 49 05.10,+57 48 59.6,3.46,12.27125262,57.8165477,167.99,1087.11,-559.65,0.62,0.587, ,12.27621323,57.81518734
